Text,Count
#debate,13320
#debates,4206
#Debate,2867
#Obama,2313
#Romney,1819
#debate2012,1571
#Debate2012,1013
#Debates,937
#msnbc2012,750
#RomneyRyan2012,738
#cnn,707
#Obama2012,706
#election,677
#tcot,654
#funny,651
#Independent,646
#Grassroots,644
#SevenPsychopaths,644
#movie,644
#obama,597
#TeamObama2012,545
#TeamObama,507
#RealRomney,455
#PresidentialDebate,437
#edshow,425
#romney,418
#GetGlue,399
#HofstraDebate,376
#ObamaDebateTips,368
#hofdebate,344
#OBAMA,314
#debate.,310
#p2,297
#GetGlue!,289
#presidentialdebate,264
#townhalldebate,256
#obama2012,247
#CNNDebate,243
#GaryJohnsonHasMyVote,203
#President,203
#CNNdebate,202
#Romney2012,199
#Vote,199
#NBCPolitics,179
#2Pac,157
#Makaveli#Campaign,157
#O4L,157
#Tupac,157
#nbcpolitics,148
#PMTdebate,146
#YABOYMITT,144
#debate”,140
#Current2012,137
#teamobama,136
#DEBATE,135
#2,132
#RETWEET,131
#Mitt,120
"#debate,",119
#Sensata,117
#CNN,114
#FourMoreYears,113
#ROMNEY,113
#TurntUp,113
#election2012,111
#2012debate,110
#2012,109
#d,107
#TeamObamaBiden,106
#Libya,105
#MittLies,105
#PresidentialDebate2012,105
#debate2,105
#fb,105
#CantAfford4More,100
#DeadDemocracy,97
#current2012,92
#Election2012,84
#2012Debate,83
#SketchyDeal,83
#debates2012,81
#POTUS,80
#OBAMA2012,79
#ObamaBiden2012,78
#cnndebate,78
#cspan2012,77
#TeamRomney,76
#sorrynotsorry,76
#vote,76
#romneyryan2012,75
#teaparty,75
#Obama.,74
#debate!,73
#MittRomney,72
#1,71
#Real,70
#youtubepolitics,69
#GOP,67
#USA,67
#Hofstra,66
#nobama,65
#RomneyRyan,64
#romney2012,62
#politics,60
#debat,58
"#Obama,",56
#Romney's,56
#TeamOBAMA,56
#mitt,56
#HofDebate,55
#MittMath,55
#TEAMOBAMA,54
"#Romney,",53
#constitution,53
#CantAffordFourMore,52
#MITT,52
#debates.,52
#gop,52
#mockthevote,52
#pdslive,52
#2012election,51
#de,51
#Romney.,50
#ThatAwkwardMoment,49
#TCOT,48
#debates”,48
#teamObama,48
#Presidential,47
#debate:,47
#America,46
#DEBATES,46
#round2,46
#Benghazi,45
#IDontHaveTimeFor,45
#Debate2,44
#CNBC2012,43
#hofstradebate,43
#shutup,43
#Douche,42
#ObamaNation,41
#Ohio,41
#presidential,41
#RealRomney:,40
#Romney:,40
#lnyhbt,40
#news,40
#votetosh,40
#KerryLadka,39
#PolitiFactThis,39
#Yankees,38
#cnndebates,38
#Brittana2012,37
#VoteAgainst,37
#letsgo,37
#2012debates,36
#DISRESPECTFUL,36
#Debates2012,36
#NDAA,36
#Obama:,36
#fastandfurious,36
#justsayin,36
#tlot,36
#truestory,36
#D,34
#truth,34
#Hofs,33
#MockTheVote,33
#current2013,33
#sketchydeal,33
#smh,33
#AisFor,32
#BEDebate2012,32
#Debate”,32
#FightForJobs,32
#NObama,32
#ROMNEY!!!...,32
#annoying,32
#forward,32
#leggo,32
#letsdebate,32
#sensata,32
#teamromney,32
#winning,32
#47percent,31
#OurVoteMatters,31
#VOTE,31
#betteroff,31
#jobs,31
#msnbc,31
#realromney,31
#BarackObama,30
#Biden,30
#FORWARD,30
#LNYHBT,30
#Obama's,30
#latism,30
#lol,30
#newgirl,30
#um,30
