Text,Count
@BarackObama,2427
@MittRomney,1169
@chrisrockoz,1030
@billmaher,1005
@morrowchris,644
@FollowMeOBAMA,592
@MensHumor,537
@TruthTeam2012,506
@realDonaldTrump,458
@edshow,448
@politifact,373
@BorowitzReport,329
@TreySongz,282
@RomneyResponse,269
@PaulRyanVP,266
@rolandsmartin,261
@LOLGOP,256
@MMFlint,248
@pattonoswalt,248
@stephenasmith,247
@StephenAtHome,242
@michellemalkin,233
@seanhannity,233
@TeamRomney,231
@robdelaney,230
@thinkprogress,217
@MichelleObama,204
@AnnCoulter,202
@ezraklein,202
@ZacMoffatt,192
@HuffingtonPost,189
@DLoesch,188
@ArturasR,185
@TamarBraxtonHer,185
@ThePresObama,183
@GovGaryJohnson,182
@ItsReginaG,181
@EricFehrn,176
@CrowleyCNN,172
@AndreaMSaul,170
@scooterbraun,170
@YABOYMITT,167
@CharlesMBlow,165
@2ChainzLyrics,159
@MoveMerch,157
@tyleroakley,157
@Obama2012,156
@RepubGrlProbs,156
@cnnbrk,152
@CNNPolitics,149
@DaneCook,144
@UNF0RG1VABLE,144
@megynkelly,144
@YourAwayMessage,143
@DickMorrisTweet,141
@itsrealTED,130
@GlobalGrind,129
@lilduval,127
@RepublicanGOP,126
@Tahjadore,124
@msnbc,124
@TheFunnyRacist,123
@piersmorgan,122
@hardball_chris,120
@MotherJones,118
@BlGBlRD,116
@davidaxelrod,114
@miilkkk,113
@IngrahamAngle,108
@KrystalBall1,108
@QtipTheAbstract,108
@CNN,107
@OnionPolitics,107
@TheDemocrats,107
@CoryBooker,106
@crowleyCNN,104
@iansomerhalder,104
@PimpBillClinton,103
@TheOnion,103
@michaelianblack,103
@KanyeWest,102
@dgjackson,102
@kendricklamar,102
@MichaelSkolnik,101
@ayeitstaylor_,101
@youtube,101
@jillstein2012,100
@mittromney,100
@TheDailyEdge,99
@chucktodd,98
@iamwill,98
@iKeepItTooReal,95
@Upworthy,94
@azizansari,94
@YouTube,93
@ThePlumLineGS,91
@MikeVick,89
@barackobama,87
@EWErickson,85
@ProperKidProbs,85
@BuzzFeedAndrew,84
@RepMichlewitz,83
@danieltosh,82
@finneyk,82
@ABCNewsLive,81
@JedediahBila,81
@BtooCold87,80
@ItsJennaMarbles,80
@Keep_It_Real_1,79
@JoyVBehar,78
@AntDeRosa,77
@cockymittromney,76
@AlbertBrooks,75
@DianeSawyer,75
@HuffPostPol,75
@JanelleMonae,75
@VanityFair,75
@bassnectar,75
@washingtonpost,75
@TheFix,73
@indecision,73
@stephenfhayes,73
@ActuallyAmDolan,70
@PaulBegala,69
@thesavvy,69
@ABC,68
@JennyJohnsonHi5,68
@Talkmaster,68
@glennbeck,67
@kendall_thought,66
@stefcutter,66
@ShelbyKnox,65
@VINNYGUADAGNINO,65
@antijokeapple,64
@AshKetchum151,63
@JoeCurtatone,63
@NotChuckBarkley,63
@TheReidReport,63
@anildash,63
@daveweigel,63
@BostonGlobe,62
@Roycelr,62
@katewalsh,62
@JohnFugelsang,61
@YourAnonNews,61
@_Ritt_Momney_,61
@factcheckdotorg,61
@JenGranholm,60
@countrysayingss,60
@TheLastWord,59
@laurenthellama,59
@FoxNews,58
@MHarrisPerry,58
@BigBirdRomney,57
@GotTaBtheKicks,57
@ItsVisto,57
@sullydish,57
@TheRealGDubya,56
@Judgenap,55
@sharethis,55
@DanJWeiss,54
@JoeBiden,54
@Students4Obama,54
@WhackAHoe,54
@blackrepublican,54
@BossBitchFacts,53
@CapehartJ,53
@keder,53
@CrazyHoneyBooBo,52
@JeffreyGoldberg,52
@_BigBird2012,52
@kel12121,52
@nytimes,52
@samsteinhp,52
@GlennKesslerWP,51
@KarlRove,51
@David_Gergen,50
@NotBillWalton,50
@fivethirtyeight,50
@HRC,49
@donnabrazile,49
@CNNEE,48
@MAKAEL86,48
@gretawire,48
@AlanHungover,47
@AubreyODay,47
@CloydRivers,47
@TeaPartyCat,47
@ToddABailey,47
@cbrentcolburn,47
@howardfineman,47
@jonlovett,47
@keithboykin,47
@CBSNews,46
@RNCResearch,46
@current,46
@politicoroger,46
@slone,46
@EcheMadubuike,45
