Text,Count
Romney,63972
Obama,60221
Debate,52562
That,18605
Mitt,18283
This,18173
#debate,18085
Http,17006
President,16020
About,13011
Just,12256
Like,11604
Presidential,10378
Tonight,10268
What,9846
With,8778
Will,8390
Time,7833
Have,7802
Watch,7769
Watching,6274
Your,6162
#debates,5728
People,5279
They,5268
Know,5267
From,5229
When,5087
Going,4952
Question,4660
Would,4514
Fuck,4367
More,4076
#obama,4052
Vote,3994
Ready,3827
Said,3774
Should,3757
Shit,3742
Candy,3593
Right,3479
Think,3467
Plan,3412
There,3298
Want,3289
Here,3229
First,3225
Make,3224
#romney,3097
Women,3086
Good,2923
Even,2922
Some,2898
Answer,2867
Talking,2865
Gonna,2863
Better,2856
Because,2826
Than,2819
Over,2791
Live,2787
Really,2760
#debate2012,2726
Barack,2638
Jobs,2602
Down,2587
Last,2559
Need,2557
Election,2521
Only,2517
Doesn,2479
Does,2440
Says,2427
Back,2381
Class,2361
Fact,2346
Twitter,2338
Years,2334
Getting,2258
Then,2258
Ryan,2245
Look,2234
Minutes,2180
Take,2170
Middle,2168
Before,2148
Been,2123
Love,2081
Come,2008
After,1988
Nigga,1981
Tell,1949
Into,1915
America,1892
Bout,1874
Talk,1872
Again,1869
During,1860
Please,1840
Never,1827
Black,1823
Everyone,1779
Hope,1776
Taxes,1772
Stop,1752
Much,1747
Them,1741
These,1719
Game,1711
Wins,1693
Keep,1689
Didn,1687
Saying,1685
Already,1682
Sure,1682
Still,1655
Looks,1636
Tweets,1632
Needs,1627
Wants,1615
Voting,1600
Wait,1576
Libya,1573
Night,1564
Bitch,1563
Being,1561
Real,1552
Their,1541
Give,1537
Moderator,1537
Great,1524
Point,1517
Face,1489
Pres,1488
Where,1485
Second,1480
Crowley,1471
College,1459
Could,1450
Well,1440
Tweet,1427
Actually,1422
Damn,1420
Looking,1388
Done,1353
Start,1344
Other,1339
Hall,1329
Questions,1317
Hear,1315
Bush,1306
Call,1306
White,1299
Care,1296
Next,1296
Shut,1292
Work,1269
Were,1258
Every,1241
Lying,1236
Both,1232
Someone,1230
Life,1207
Same,1199
Wanna,1198
Lies,1196
Lets,1189
While,1169
Town,1164
Trying,1155
Show,1153
Gets,1142
Lmao,1139
Thing,1137
2012,1133
Governor,1131
Full,1123
Check,1096
Biden,1089
Something,1089
Liar,1086
#obama2012,1073
Makes,1067
Always,1059
Dont,1059
Money,1057
Which,1056
Feel,1029
Fucking,1029
Parents,1020
Around,1019
Follow,1018
Team,1016
Single,1014
Doing,1007
Country,1000
Very,993
Ever,990
Tweeting,987
