Text,Count
Twitter for iPhone,58149
web,42188
Twitter for Android,27461
Twitter for iPad,6860
TweetDeck,5798
Echofon,5011
Twitter for BlackBerry,3926
TweetCaster for Android,3443
Mobile Web,3326
Tweetbot for iOS,1852
Plume for Android,1777
Tweet Button,1741
txt,1638
HootSuite,1620
Twitter for Mac,1326
TweetCaster for iOS,1038
twitterfeed,945
iOS,896
UberSocial for BlackBerry,856
twicca,809
GetGlue.com,686
Tweetlogix,652
UberSocial for Android,610
Instagram,448
dlvr.it,389
Twitter for Windows Phone,350
Twitterrific,281
foursquare,251
Seesmic,222
Twidroyd for Android,204
AORET12,176
UberSocial for iPhone,162
HTC Peep,148
Tweetbot for Mac,115
Elections,110
Google,110
Twittelator,109
Tumblr,106
We Dont Like Romney,101
TweetList!,89
MetroTwit,80
Samsung Mobile,61
TwitBird,58
Ustream.TV,58
Windows Phone,58
LG Phone,51
OS X,51
Camera on iOS,49
Silver Bird,49
Osfoora for iPhone,45
RoundTeam,44
IFTTT,43
TweetChat,41
CoveritLiveEvents,39
Janetter,39
TwitPal,39
Scope App,38
Photos on iOS,36
Twitterrific for Mac,36
Flipboard,33
Botize,31
Buffer,31
TweetList Pro,29
Safari on iOS,28
Twittelator Neue,27
RockMelt,26
MobileIM,25
Sprout Social,23
Slices for iOS,22
Slices for Android,21
TweetCaster for WP7,21
rowi for Windows Phone,21
DROID,20
GO Launcher EX,20
MOTOBLUR,19
YoruFukurou,19
Janetter for Mac,18
MyPad for iOS (iPad),18
Viggle on iOS,18
yoono,18
Favstar.FM,17
Path 2.0,17
votebyip,17
SocialOomph,16
zeeboxtv,16
TwitLonger Beta,15
Facebook,14
MarketMeSuite,14
twidroyd,14
PlayStation Vita,13
bitly,13
loctouch,13
AddMeFast Social Exchange,12
Dabr,12
IntoNow,12
NetworkedBlogs,12
Osfoora HD,12
Panoramic moTweets,12
